CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME
3662,SUNBEAM CORP/FL/,199803,3/6/1998,10-K405,edgar/data/3662/0000950170-98-000413.txt
3662,SUNBEAM CORP/FL/,199805,5/15/1998,10-Q,edgar/data/3662/0000950170-98-001001.txt
3662,SUNBEAM CORP/FL/,199808,8/13/1998,NT 10-Q,edgar/data/3662/0000950172-98-000783.txt
3662,SUNBEAM CORP/FL/,199811,11/12/1998,10-K/A,edgar/data/3662/0000950170-98-002145.txt
3662,SUNBEAM CORP/FL/,199811,11/16/1998,NT 10-Q,edgar/data/3662/0000950172-98-001203.txt
3662,SUNBEAM CORP/FL/,199811,11/25/1998,10-Q/A,edgar/data/3662/0000950170-98-002278.txt
3662,SUNBEAM CORP/FL/,199812,12/22/1998,10-Q,edgar/data/3662/0000950170-98-002401.txt
3662,SUNBEAM CORP/FL/,199812,12/22/1998,10-Q,edgar/data/3662/0000950170-98-002402.txt
3662,SUNBEAM CORP/FL/,199903,3/31/1999,NT 10-K,edgar/data/3662/0000950172-99-000362.txt
3662,SUNBEAM CORP/FL/,199905,5/11/1999,10-K,edgar/data/3662/0000950170-99-000775.txt
3662,SUNBEAM CORP/FL/,199905,5/17/1999,NT 10-Q,edgar/data/3662/0000950172-99-000584.txt
3662,SUNBEAM CORP/FL/,199906,6/11/1999,10-Q,edgar/data/3662/0000950170-99-001005.txt
3662,SUNBEAM CORP/FL/,199908,8/16/1999,NT 10-Q,edgar/data/3662/0000950172-99-001074.txt
3662,SUNBEAM CORP/FL/,199908,8/19/1999,10-Q,edgar/data/3662/0000950170-99-001361.txt
3662,SUNBEAM CORP/FL/,199911,11/8/1999,10-K/A,edgar/data/3662/0000889812-99-003241.txt
3662,SUNBEAM CORP/FL/,199911,11/8/1999,10-Q/A,edgar/data/3662/0000950170-99-001639.txt
3662,SUNBEAM CORP/FL/,199911,11/8/1999,10-Q/A,edgar/data/3662/0000950170-99-001640.txt
3662,SUNBEAM CORP/FL/,199911,11/15/1999,NT 10-Q,edgar/data/3662/0000950172-99-001626.txt
3662,SUNBEAM CORP/FL/,199911,11/19/1999,10-Q,edgar/data/3662/0000950170-99-001856.txt
3982,ALLIS CHALMERS ENERGY INC.,200603,3/22/2006,10-K,edgar/data/3982/0000950129-06-002926.txt
3982,ALLIS CHALMERS ENERGY INC.,200605,5/1/2006,10-K/A,edgar/data/3982/0000950129-06-004690.txt
3982,ALLIS CHALMERS ENERGY INC.,200605,5/10/2006,10-Q,edgar/data/3982/0000950129-06-005244.txt
3982,ALLIS CHALMERS ENERGY INC.,200607,7/24/2006,10-K/A,edgar/data/3982/0000950129-06-007243.txt
3982,ALLIS CHALMERS ENERGY INC.,200607,7/24/2006,10-Q/A,edgar/data/3982/0000950129-06-007244.txt
3982,ALLIS CHALMERS ENERGY INC.,200608,8/14/2006,10-Q,edgar/data/3982/0000950129-06-007871.txt
3982,ALLIS CHALMERS ENERGY INC.,200611,11/8/2006,10-Q,edgar/data/3982/0000950129-06-009522.txt
3982,ALLIS CHALMERS ENERGY INC.,200612,12/29/2006,10-Q/A,edgar/data/3982/0000950134-06-023819.txt
3982,ALLIS CHALMERS ENERGY INC.,200703,3/15/2007,10-K,edgar/data/3982/0000950129-07-001381.txt
3982,ALLIS CHALMERS ENERGY INC.,200705,5/10/2007,10-Q,edgar/data/3982/0000950129-07-002432.txt
3982,ALLIS CHALMERS ENERGY INC.,200708,8/9/2007,10-Q,edgar/data/3982/0000950129-07-003918.txt
3982,ALLIS CHALMERS ENERGY INC.,200711,11/6/2007,10-Q,edgar/data/3982/0000950129-07-005361.txt
3982,ALLIS CHALMERS ENERGY INC.,200803,3/7/2008,10-K,edgar/data/3982/0000950129-08-001569.txt
3982,ALLIS CHALMERS ENERGY INC.,200804,4/29/2008,10-K/A,edgar/data/3982/0000950129-08-002507.txt
4447,AMERADA HESS CORP,200311,11/12/2003,10-Q,edgar/data/4447/0000950123-03-012528.txt
4447,AMERADA HESS CORP,200403,3/12/2004,10-K,edgar/data/4447/0000950123-04-003250.txt
4447,AMERADA HESS CORP,200403,3/15/2004,10-K/A,edgar/data/4447/0000950123-04-003322.txt
4447,AMERADA HESS CORP,200405,5/7/2004,10-Q,edgar/data/4447/0000950123-04-005950.txt
4447,AMERADA HESS CORP,200408,8/6/2004,10-Q,edgar/data/4447/0000950123-04-009350.txt
4447,AMERADA HESS CORP,200411,11/5/2004,10-Q,edgar/data/4447/0000950123-04-013054.txt
4447,AMERADA HESS CORP,200503,3/14/2005,10-K,edgar/data/4447/0000950123-05-003078.txt
4447,AMERADA HESS CORP,200505,5/6/2005,10-Q,edgar/data/4447/0000950123-05-005767.txt
4447,AMERADA HESS CORP,200508,8/5/2005,10-Q,edgar/data/4447/0000950123-05-009475.txt
4447,AMERADA HESS CORP,200511,11/7/2005,10-Q,edgar/data/4447/0000950123-05-013153.txt
4457,AMERCO /NV/,199911,11/8/1999,10-Q,edgar/data/4457/0000004457-99-000043.txt
