Column1,CIK,CONAME,FDATE,FORM,FYRMO,SECFNAME,mda_positive_score,mda_negative_score,mda_polarity_score,mda_average_sentence_length,mda_percentage_of_complex_words,mda_fog_index,mda_complex_word_count,mda_word_count,mda_uncertainty_score,mda_constraining_score,mda_positive_word_proportion,mda_negative_word_proportion,mda_uncertainty_word_proportion,mda_constraining_word_proportion,qqdmr_positive_score,qqdmr_negative_score,qqdmr_polarity_score,qqdmr_average_sentence_length,qqdmr_percentage_of_complex_words,qqdmr_fog_index,qqdmr_complex_word_count,qqdmr_word_count,qqdmr_uncertainty_score,qqdmr_constraining_score,qqdmr_positive_word_proportion,qqdmr_negative_word_proportion,qqdmr_uncertainty_word_proportion,qqdmr_constraining_word_proportion,rf_positive_score,rf_negative_score,rf_polarity_score,rf_average_sentence_length,rf_percentage_of_complex_words,rf_fog_index,rf_complex_word_count,rf_word_count,rf_uncertainty_score,rf_constraining_score,rf_positive_word_proportion,rf_negative_word_proportion,rf_uncertainty_word_proportion,rf_constraining_word_proportion,constraining_words_whole_report
0,3662,SUNBEAM CORP/FL/,3/6/1998,10-K405,199803,edgar/data/3662/0000950170-98-000413.txt,17,61,-0.564102557,24,0.366639807,9.746655923,910,2482,23,10,0.006849315,0.024576954,0.00926672,0.004029009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1,3662,SUNBEAM CORP/FL/,5/15/1998,10-Q,199805,edgar/data/3662/0000950170-98-001001.txt,9,46,-0.67272726,30,0.411542611,12.16461704,763,1854,58,2,0.004854369,0.024811219,0.031283711,0.001078749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,3662,SUNBEAM CORP/FL/,8/13/1998,NT 10-Q,199808,edgar/data/3662/0000950172-98-000783.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3662,SUNBEAM CORP/FL/,11/12/1998,10-K/A,199811,edgar/data/3662/0000950170-98-002145.txt,41,119,-0.487499997,23,0.397551546,9.359020619,1851,4656,73,39,0.008805842,0.025558419,0.015678694,0.008376289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
4,3662,SUNBEAM CORP/FL/,11/16/1998,NT 10-Q,199811,edgar/data/3662/0000950172-98-001203.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3662,SUNBEAM CORP/FL/,11/25/1998,10-Q/A,199811,edgar/data/3662/0000950170-98-002278.txt,19,63,-0.536585359,23,0.399538772,9.359815509,1386,3469,82,23,0.005477083,0.018160853,0.023637936,0.006630153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
6,3662,SUNBEAM CORP/FL/,12/22/1998,10-Q,199812,edgar/data/3662/0000950170-98-002401.txt,40,106,-0.452054791,22,0.393703925,8.95748157,1976,5019,106,34,0.007969715,0.021119745,0.021119745,0.006774258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
7,3662,SUNBEAM CORP/FL/,12/22/1998,10-Q,199812,edgar/data/3662/0000950170-98-002402.txt,38,102,-0.457142854,22,0.406481678,8.962592671,1919,4721,109,32,0.008049142,0.021605592,0.023088329,0.006778225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
8,3662,SUNBEAM CORP/FL/,3/31/1999,NT 10-K,199903,edgar/data/3662/0000950172-99-000362.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3662,SUNBEAM CORP/FL/,5/11/1999,10-K,199905,edgar/data/3662/0000950170-99-000775.txt,71,270,-0.583577711,23,0.396650968,9.358660387,3790,9555,180,74,0.007430665,0.028257457,0.018838305,0.007744636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
